,city,state,zip,region,gradeWalking,avgDaysOfEnjoyableWeather,avgInternetSpeed,avgPopulationDensity,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety,lat,lon,pizzaPlaceTotal,pizzaRatingAvg,group
273,San Leandro,CA,94577,West,0.574712643678161,0.8159509202453988,0.1564625850340136,0.09028032059888523,0.8313253012048192,0.3013698630136986,0.6,0.855263157894737,0.1447368421052631,0.15853658536585363,0.4444444444444444,0.2661504680457645,0.44163045593099415,0.5294117647058822,0.0,0.23529411764705882,37.7257663,-122.1568554,168,4.23,0
274,Tracy,CA,95376,West,0.33333333333333337,0.6012269938650308,0.20408163265306123,0.004597420562268604,0.5180722891566265,0.1917808219178082,0.4,0.8157894736842106,0.18421052631578944,0.475609756097561,0.19999999999999996,0.1963480873685427,0.32352941176470584,0.7647058823529411,0.0,0.6470588235294117,37.739581799999996,-121.4260018,93,4.09,0
275,San Francisco,CA,94112,West,0.849425287356322,0.8159509202453988,0.2108843537414966,0.22068974870146602,0.8795180722891565,0.6712328767123288,0.6,0.7631578947368421,0.2368421052631579,0.08536585365853659,0.6222222222222222,0.543279787356986,0.655295414748038,0.5294117647058822,0.0,0.0,37.7749295,-122.4194155,119,4.29,1
276,Oakland,CA,94601,West,0.6724137931034483,0.8159509202453988,0.17687074829931976,0.07544380704395352,0.8313253012048192,0.4657534246575343,0.6,0.855263157894737,0.1447368421052631,0.15853658536585363,0.6222222222222222,0.30775453599907543,0.4498346196251378,0.5294117647058822,0.0,0.0,37.804351399999994,-122.27116389999999,144,4.27,0
277,Berkeley,CA,94704,West,0.7931034482758621,0.8159509202453988,0.18367346938775514,0.10401833543539879,0.8313253012048192,0.8904109589041094,0.6,0.855263157894737,0.1447368421052631,0.15853658536585363,0.7333333333333334,0.49728417889749216,0.4498346196251378,0.5294117647058822,0.29411764705882354,0.23529411764705882,37.871522600000006,-122.27304199999999,154,4.24,1
278,Richmond,CA,94804,West,0.5057471264367817,0.8159509202453988,0.19047619047619047,0.056606588279968,0.6746987951807228,0.273972602739726,0.4,0.8026315789473685,0.19736842105263158,0.3170731707317073,0.5999999999999999,0.17739512307870103,0.11874959465594392,0.5294117647058822,0.0,0.1764705882352941,37.9357576,-122.3477486,169,4.15,2
279,Stockton,CA,95206,West,0.3448275862068966,0.32515337423312884,0.18367346938775514,0.013154861195871816,0.5301204819277108,0.1780821917808219,0.4,0.8157894736842106,0.18421052631578944,0.475609756097561,0.48888888888888893,0.10158326591933434,0.2484596925870679,0.0,0.1764705882352941,0.0,37.9577016,-121.29077959999998,110,4.12,2
280,Evansville,IN,47714,Midwest,0.367816091954023,0.25153374233128833,0.06802721088435375,0.010252654705236178,0.4096385542168674,0.1780821917808219,0.4,0.6447368421052632,0.3552631578947369,0.5975609756097562,0.6222222222222222,0.039639431411071305,0.10169271677800118,0.1764705882352941,0.8823529411764706,0.1764705882352941,37.9715592,-87.5710898,89,4.23,2
281,Concord,CA,94521,West,0.3793103448275862,0.8159509202453988,0.217687074829932,0.05078861358612366,0.6746987951807228,0.3561643835616438,0.4,0.8026315789473685,0.19736842105263158,0.3170731707317073,0.37777777777777777,0.2372587541892985,0.12763473636422595,0.5294117647058822,0.0,0.4705882352941176,37.9779776,-122.0310733,137,4.19,2
282,Antioch,CA,94509,West,0.29885057471264365,0.8159509202453988,0.2108843537414966,0.050639434747819956,0.6746987951807228,0.2465753424657534,0.4,0.8026315789473685,0.19736842105263158,0.3170731707317073,0.3555555555555556,0.15751762394545246,0.33309553148712623,0.5294117647058822,0.0,0.23529411764705882,38.0049214,-121.80578899999999,116,4.03,0
283,Charlottesville,VA,22903,South,0.5402298850574713,0.294478527607362,0.19047619047619047,0.006075647232732549,0.7951807228915662,0.6027397260273972,0.4,0.5789473684210527,0.4210526315789474,0.1951219512195122,0.8222222222222222,0.1186871605223622,0.1754004799273623,0.8823529411764706,0.9411764705882353,0.4705882352941176,38.029305900000004,-78.47667810000002,92,4.12,1
284,Lexington,KY,40515,South,0.27471264367816095,0.20858895705521474,0.04081632653061225,0.013141299483298752,0.46987951807228906,0.5068493150684932,0.6,0.6973684210526316,0.3026315789473684,0.5121951219512195,0.5333333333333332,0.06506413960476136,0.08395486088591997,0.7647058823529411,0.7647058823529411,0.29411764705882354,38.040583700000006,-84.50371640000002,97,4.04,2
285,Vallejo,CA,94591,West,0.3563218390804598,0.460122699386503,0.2585034013605442,0.037131969025048485,0.6385542168674698,0.2465753424657534,0.4,0.8289473684210527,0.17105263157894735,0.35365853658536583,0.5777777777777777,0.14850340922223507,0.12967767040664113,0.29411764705882354,0.0,0.0,38.1040864,-122.25663670000002,122,4.1,2
286,Fairfield,CA,94533,West,0.27586206896551724,0.460122699386503,0.30612244897959184,0.013995687375401767,0.6385542168674698,0.273972602739726,0.4,0.8289473684210527,0.17105263157894735,0.35365853658536583,0.4222222222222223,0.18525366924765976,0.4750632336727413,0.29411764705882354,0.1764705882352941,0.4705882352941176,38.2491956,-122.04051509999998,105,3.98,0
287,Louisville,KY,40214,South,0.24367816091954023,0.18404907975460122,0.061224489795918366,0.02786931933764596,0.5421686746987953,0.2191780821917808,0.2,0.5921052631578948,0.40789473684210537,0.4634146341463415,0.6444444444444444,0.06732924997110828,0.11262079252869828,0.0,0.7058823529411764,0.411764705882353,38.252664700000004,-85.7584557,114,4.15,2
288,Pueblo,CO,81001,West,0.29885057471264365,0.06748466257668713,0.2108843537414966,0.002427546550578407,0.5421686746987953,0.1780821917808219,0.4,0.5789473684210527,0.43421052631578944,0.43902439024390244,0.5111111111111113,0.05165838437536114,0.03547571178416242,1.0,0.9411764705882353,0.0,38.2544472,-104.60914090000001,87,4.04,2
289,Napa,CA,94558,West,0.3908045977011495,0.460122699386503,0.17006802721088438,0.003024261903793211,0.6265060240963856,0.31506849315068497,0.4,0.8157894736842106,0.18421052631578944,0.36585365853658536,0.3999999999999999,0.27192881081705766,0.4750632336727413,0.0,0.6470588235294117,0.7058823529411764,38.2975381,-122.28686499999999,94,4.07,0
290,Fredericksburg,VA,22407,South,0.3793103448275862,0.26380368098159507,0.217687074829932,0.008652372621614658,0.6265060240963856,0.3972602739726028,0.4,0.0,1.0,0.36585365853658536,0.7555555555555558,0.1167225239801225,0.3877034827161294,0.29411764705882354,0.1764705882352941,0.29411764705882354,38.303183700000005,-77.46053990000001,92,3.96,0
291,Charleston,WV,25302,South,0.25287356321839083,0.24539877300613494,0.1564625850340136,0.004678790837706986,0.397590361445783,0.49315068493150677,0.4,0.855263157894737,0.1447368421052631,0.5975609756097562,0.5111111111111113,0.040563966254478216,0.16246189765873276,0.411764705882353,1.0,0.29411764705882354,38.3498195,-81.6326234,94,4.14,2
292,Vacaville,CA,95687,West,0.28735632183908044,0.460122699386503,0.19727891156462585,0.01059169751956277,0.6385542168674698,0.2054794520547945,0.4,0.8289473684210527,0.17105263157894735,0.35365853658536583,0.4222222222222223,0.1736969837050734,0.4750632336727413,0.411764705882353,0.411764705882353,0.7058823529411764,38.3565773,-121.98774440000001,75,4.03,0
293,Elk Grove,CA,95624,West,0.20689655172413793,0.2331288343558282,0.12244897959183675,0.018579546225097308,0.5662650602409638,0.3972602739726028,0.4,0.8289473684210527,0.17105263157894735,0.42682926829268286,0.33333333333333326,0.15520628683693516,0.4750632336727413,0.411764705882353,0.0,0.7058823529411764,38.4087993,-121.37161780000001,126,4.14,0
294,Santa Rosa,CA,95403,West,0.367816091954023,0.44785276073619634,0.22448979591836737,0.01480939012978559,0.7349397590361444,0.3424657534246575,0.6,0.8947368421052633,0.10526315789473684,0.24390243902439024,0.3999999999999999,0.22963134173119149,0.4750632336727413,0.9411764705882353,0.4705882352941176,0.7058823529411764,38.440428999999995,-122.7140548,97,4.16,0
295,Sacramento,CA,95823,West,0.38390804597701145,0.31901840490797545,0.17006802721088438,0.04784572195776883,0.5662650602409638,0.3287671232876712,0.4,0.8289473684210527,0.17105263157894735,0.42682926829268286,0.5777777777777777,0.12065179706460188,0.26551657046501065,0.411764705882353,0.411764705882353,0.29411764705882354,38.5815719,-121.49439960000001,130,4.21,0
296,Ballwin,MO,63021,Midwest,0.10344827586206898,0.1656441717791411,0.217687074829932,0.03444674993558187,0.5542168674698795,0.6712328767123288,0.2,0.5657894736842105,0.43421052631578944,0.45121951219512196,0.15555555555555556,0.10435687044955508,0.09964978273558589,0.0,0.29411764705882354,0.9411764705882353,38.5950532,-90.5462339,155,4.12,1
297,Saint Louis,MO,63129,Midwest,0.5724137931034483,0.18404907975460122,0.20408163265306123,0.042949943718892825,0.8795180722891565,0.3424657534246575,0.2,0.5657894736842105,0.43421052631578944,0.12195121951219513,0.7999999999999998,0.04102623367618167,0.09964978273558589,0.0,0.4705882352941176,0.0,38.6270025,-90.1994042,140,4.11,0
298,Manassas,VA,20110,South,0.3793103448275862,0.17177914110429449,0.2108843537414966,0.020857913937372016,0.5662650602409638,0.3287671232876712,0.2,0.9342105263157895,0.06578947368421051,0.42682926829268286,0.3555555555555556,0.13671558996879696,0.37745638497957057,0.29411764705882354,0.0,0.7058823529411764,38.750948799999996,-77.47526669999998,145,3.98,0
299,Roseville,CA,95747,West,0.29885057471264365,0.22699386503067487,0.19047619047619047,0.024831495721279687,0.34939759036144574,0.41095890410958896,0.4,0.8289473684210527,0.17105263157894735,0.6463414634146342,0.24444444444444446,0.1806309950306252,0.3535897269602438,0.411764705882353,0.23529411764705882,0.6470588235294117,38.752123499999996,-121.28800590000002,133,4.24,2
300,Saint Charles,MO,63301,Midwest,0.21839080459770113,0.1656441717791411,0.19047619047619047,0.011947868776869144,0.34939759036144574,0.4246575342465753,0.4,0.6447368421052632,0.3552631578947369,0.6585365853658537,0.4666666666666668,0.0729226857737201,0.09420195862247871,0.0,0.7058823529411764,0.6470588235294117,38.7881062,-90.4974359,146,4.11,2
301,Florissant,MO,63031,Midwest,0.27586206896551724,0.1656441717791411,0.18367346938775514,0.03205988852272265,0.5542168674698795,0.2191780821917808,0.2,0.5657894736842105,0.43421052631578944,0.45121951219512196,0.48888888888888893,0.03219692592164567,0.09964978273558589,0.0,0.29411764705882354,0.7058823529411764,38.789217,-90.322614,156,4.02,2
302,Alexandria,VA,22304,South,0.5862068965517242,0.17177914110429449,0.2108843537414966,0.07679997830125988,0.7349397590361444,0.8082191780821917,0.2,0.6578947368421053,0.34210526315789475,0.2682926829268293,0.48888888888888893,0.19179475326476367,0.45119657565341453,0.29411764705882354,0.0,0.7058823529411764,38.804835499999996,-77.0469214,145,4.13,1
303,Colorado Springs,CO,80918,West,0.26436781609195403,0.11042944785276075,0.18367346938775514,0.007675929316354069,0.3373493975903614,0.4246575342465753,0.6,0.8289473684210527,0.17105263157894735,0.6463414634146342,0.3555555555555556,0.10065873107592743,0.12422984629353395,1.0,0.7058823529411764,0.29411764705882354,38.8338816,-104.82136340000001,102,4.01,2
304,Fairfax,VA,22030,South,0.5057471264367817,0.17177914110429449,0.19047619047619047,0.05021902165805498,0.5662650602409638,0.6712328767123288,0.4,0.75,0.24999999999999994,0.42682926829268286,0.2666666666666666,0.21761238876690164,0.3877034827161294,0.5294117647058822,0.0,0.7647058823529411,38.84622359999999,-77.30637329999998,157,4.12,1
305,Arlington,VA,22204,South,0.6563218390804597,0.17177914110429449,0.19727891156462585,0.11561359968536827,0.7108433734939759,0.9178082191780821,0.2,0.9342105263157895,0.06578947368421051,0.28048780487804875,0.5777777777777777,0.22859124003235873,0.12627278033594913,0.29411764705882354,0.23529411764705882,0.5294117647058822,38.879969700000004,-77.1067698,120,4.18,1
306,Olathe,KS,66062,Midwest,0.18390804597701146,0.19631901840490795,0.38095238095238093,0.01554172260873103,0.3614457831325301,0.5616438356164384,0.4,0.6447368421052632,0.3552631578947369,0.6341463414634146,0.1777777777777777,0.09973419623252051,0.07370776314936112,0.5294117647058822,0.6470588235294117,0.7647058823529411,38.8813958,-94.8191285,113,4.02,2
307,Falls Church,VA,22042,South,0.942528735632184,0.17177914110429449,0.17006802721088438,0.08193986736645104,0.7108433734939759,0.9589041095890409,0.2,0.0,1.0,0.2926829268292683,0.24444444444444446,0.22963134173119149,0.408197678189247,0.5294117647058822,0.23529411764705882,0.7647058823529411,38.88233400000001,-77.17109140000001,133,4.2,1
308,Washington,DC,20011,South,0.7367816091954023,0.2822085889570552,0.163265306122449,0.13401684364701574,0.9759036144578312,0.6575342465753424,0.4,0.8815789473684211,0.11842105263157898,0.012195121951219523,0.8666666666666667,0.25470934935860395,0.45119657565341453,0.29411764705882354,0.0,0.0,38.9071923,-77.03687070000001,120,4.13,1
309,Lees Summit,MO,64081,Midwest,0.10344827586206898,0.2331288343558282,0.3129251700680272,0.013453218872479217,0.5903614457831323,0.49315068493150677,0.2,0.6447368421052632,0.3552631578947369,0.4146341463414634,0.24444444444444446,0.08309256905119612,0.10853492444386792,0.4705882352941176,0.23529411764705882,0.7058823529411764,38.9108408,-94.3821724,126,3.95,1
310,Columbia,MO,65203,Midwest,0.18390804597701146,0.1901840490797546,0.11564625850340136,0.005831536406417402,0.48192771084337344,0.6986301369863015,0.6,0.7763157894736842,0.22368421052631576,0.49999999999999994,0.7111111111111112,0.06321506991794754,0.11193981451455992,0.0,1.0,0.411764705882353,38.95170529999999,-92.33407240000001,84,4.12,1
311,Hyattsville,MD,20783,South,0.5517241379310345,0.2822085889570552,0.163265306122449,0.077247514816171,0.963855421686747,0.3287671232876712,0.2,0.9078947368421053,0.09210526315789475,0.03658536585365854,0.6888888888888889,0.09670634462036289,0.10921590245800628,1.0,0.0,0.0,38.955944200000005,-76.9455301,151,4.14,0
312,Lawrence,KS,66044,Midwest,0.32183908045977017,0.1656441717791411,0.1564625850340136,0.006129894083024804,0.6144578313253011,0.6438356164383561,0.4,0.9342105263157895,0.06578947368421051,0.3780487804878049,0.6888888888888889,0.06922454640009246,0.07370776314936112,0.4705882352941176,0.7647058823529411,0.29411764705882354,38.971668900000004,-95.23525009999999,83,4.07,1
313,Annapolis,MD,21401,South,0.4367816091954023,0.2822085889570552,0.19047619047619047,0.027069178295835203,0.46987951807228906,0.5616438356164384,0.4,0.7631578947368421,0.2368421052631579,0.524390243902439,0.5111111111111113,0.16907430948803884,0.21706984888773584,0.29411764705882354,0.1764705882352941,0.5294117647058822,38.9784453,-76.4921829,122,4.04,1
314,Overland Park,KS,66212,Midwest,0.26436781609195403,0.19631901840490795,0.4217687074829932,0.04132253821012518,0.3614457831325301,0.726027397260274,0.4,0.6447368421052632,0.3552631578947369,0.6341463414634146,0.19999999999999996,0.11797064601872184,0.08054997081522797,0.5294117647058822,0.7058823529411764,0.7058823529411764,38.9822282,-94.6707917,117,4.14,1
315,Bowie,MD,20721,South,0.16091954022988506,0.2822085889570552,0.19727891156462585,0.023705873577715395,0.963855421686747,0.5753424657534245,0.2,0.9078947368421053,0.09210526315789475,0.03658536585365854,0.37777777777777777,0.13341037790361723,0.3808937025747454,0.23529411764705882,0.0,0.7647058823529411,39.0067768,-76.77913649999998,183,4.04,1
316,Topeka,KS,66614,Midwest,0.26436781609195403,0.1656441717791411,0.13605442176870747,0.00735044821460054,0.4578313253012048,0.2876712328767123,0.4,0.7105263157894738,0.2894736842105264,0.5365853658536586,0.48888888888888893,0.034554489772333295,0.10305467280627789,0.7647058823529411,1.0,0.1764705882352941,39.0473451,-95.6751576,82,3.96,2
317,Grand Junction,CO,81504,West,0.21839080459770113,0.07975460122699386,0.19727891156462585,0.004787284538291496,0.27710843373493976,0.3013698630136986,0.4,0.9342105263157895,0.06578947368421051,0.7195121951219513,0.4222222222222223,0.0812434993643823,0.13651987807250787,0.9411764705882353,0.9411764705882353,0.23529411764705882,39.0638705,-108.5506486,103,4.17,2
318,Rockville,MD,20850,South,0.47126436781609193,0.17177914110429449,0.19727891156462585,0.0521583465560031,0.7349397590361444,0.7671232876712328,0.4,0.618421052631579,0.3815789473684211,0.25609756097560976,0.2222222222222222,0.24763665780654107,0.3535897269602438,0.29411764705882354,0.0,0.7058823529411764,39.0839973,-77.1527578,161,4.14,1
319,Independence,MO,64055,Midwest,0.18390804597701146,0.2331288343558282,0.19047619047619047,0.015216241506977502,0.5903614457831323,0.16438356164383564,0.4,0.6447368421052632,0.3552631578947369,0.4146341463414634,0.4666666666666668,0.03547902461574021,0.10853492444386792,0.4705882352941176,0.5294117647058822,0.0,39.0911161,-94.4155068,148,4.04,2
320,Laurel,MD,20707,South,0.4482758620689655,0.2883435582822086,0.19047619047619047,0.029700150535009566,0.963855421686747,0.4657534246575343,0.2,0.9078947368421053,0.09210526315789475,0.03658536585365854,0.6222222222222222,0.1313995146192072,0.37405149490887857,0.29411764705882354,0.0,0.4705882352941176,39.0992752,-76.8483061,160,4.0,0
321,Kansas City,MO,64118,Midwest,0.2540229885057471,0.2331288343558282,0.8367346938775511,0.0189185890394239,0.5903614457831323,0.3698630136986301,0.4,0.6447368421052632,0.3552631578947369,0.4146341463414634,0.5777777777777777,0.06968681382179591,0.12011155068422075,0.4705882352941176,0.6470588235294117,0.0,39.0997265,-94.5785667,138,4.09,2
322,Cincinnati,OH,45238,Midwest,0.4609195402298851,0.1656441717791411,0.11564625850340136,0.031002074942023682,0.506024096385542,0.3561643835616438,0.2,0.6710526315789475,0.3289473684210526,0.49999999999999994,0.8444444444444443,0.049809314688547324,0.09556391465075553,0.0,0.5294117647058822,0.0,39.103118200000004,-84.5120196,137,4.16,2
