,id,city,state,region,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety
91,92,Sarasota,FL,South,0.46,0.31,0.01,0.53,0.47,0.53,0.61,250000,21808,3.75,4.25,1.0
92,93,Broomfield,CO,West,0.51,0.48,0.02,0.64,0.36,0.47,0.45,381250,22524,5.25,2.25,4.0
93,94,Frisco,TX,South,0.33,0.6,0.02,0.46,0.54,0.65,0.33,389737,22376,3.0,1.75,4.0
94,95,Grand Junction,CO,West,0.33,0.27,0.02,0.71,0.29,0.65,0.52,200000,20461,5.0,5.0,2.0
95,96,Alpharetta,GA,South,0.64,0.64,0.01,0.41,0.59,0.35,0.4,369000,18882,2.25,3.0,4.0
96,97,Annapolis,MD,South,0.49,0.46,0.02,0.58,0.42,0.49,0.56,390000,22945,2.25,1.75,3.25
97,98,Vero Beach,FL,South,0.39,0.32,0.01,0.49,0.51,0.61,0.56,174000,21239,4.75,5.0,3.0
98,99,Rochester,MI,Midwest,0.54,0.58,0.01,0.52,0.48,0.46,0.46,360000,21366,1.0,1.0,5.0
99,100,Los Angeles,CA,West,0.69,0.32,0.02,0.42,0.58,0.29,0.6,615250,28817,1.0,1.0,3.75
100,101,Denver,CO,West,0.74,0.45,0.02,0.47,0.53,0.24,0.61,350000,22671,4.25,2.75,2.25
101,102,Washington,DC,South,0.91,0.53,0.02,0.67,0.33,0.07,0.72,575250,30165,2.25,1.0,1.0
102,103,Atlanta,GA,South,0.64,0.47,0.01,0.41,0.59,0.35,0.71,256275,21387,2.0,2.25,1.0
103,104,Virginia Beach,VA,South,0.48,0.33,0.01,0.66,0.34,0.51,0.5,257500,20503,4.25,3.25,3.75
104,105,New Orleans,LA,South,0.8,0.34,0.02,0.56,0.44,0.18,0.68,239000,19577,2.75,3.0,2.25
105,106,Pittsburgh,PA,Northeast,0.57,0.38,0.01,0.28,0.72,0.42,0.68,150000,21218,1.0,3.0,2.75
106,107,Lincoln,NE,Midwest,0.49,0.36,0.02,0.55,0.45,0.5,0.52,159000,19492,5.0,5.0,2.75
107,108,Chandler,AZ,West,0.43,0.4,0.02,0.6,0.4,0.55,0.49,280000,19577,4.0,3.0,3.75
108,109,Tacoma,WA,West,0.54,0.24,0.02,0.7,0.3,0.43,0.58,243000,21724,5.0,2.0,1.0
109,110,Spokane,WA,West,0.46,0.26,0.03,0.64,0.36,0.52,0.55,165000,19303,4.25,4.25,1.0
110,111,Irving,TX,South,0.57,0.33,0.01,0.45,0.55,0.42,0.5,233950,20440,3.0,2.75,3.25
111,112,Tempe,AZ,West,0.43,0.39,0.02,0.6,0.4,0.55,0.71,235000,18566,4.0,4.0,2.0
112,113,Amarillo,TX,South,0.27,0.22,0.01,0.14,0.86,0.72,0.51,117000,18377,5.25,4.75,2.0
113,114,Huntsville,AL,South,0.4,0.41,0.01,0.45,0.55,0.59,0.56,145000,19619,3.25,4.75,1.0
114,115,Vancouver,WA,West,0.49,0.26,0.02,0.72,0.28,0.49,0.51,288700,27049,5.25,3.25,2.75
115,116,Springfield,MO,Midwest,0.37,0.25,0.02,0.44,0.56,0.61,0.63,122000,18903,3.75,5.0,1.0
116,117,Salem,OR,West,0.47,0.27,0.02,0.62,0.38,0.51,0.54,234000,27049,5.25,3.75,2.25
117,118,Alexandria,VA,South,0.71,0.64,0.01,0.5,0.5,0.28,0.55,439150,30165,2.25,1.0,4.0
118,119,Lakewood,CO,West,0.51,0.36,0.02,0.64,0.36,0.47,0.52,325000,22671,4.25,2.25,2.0
119,120,Syracuse,NY,Northeast,0.6,0.25,0.02,0.48,0.52,0.39,0.72,82000,21892,5.25,5.0,1.75
120,121,Carrollton,TX,South,0.57,0.36,0.01,0.45,0.55,0.42,0.44,245450,20440,3.0,2.75,3.75
121,122,Naperville,IL,Midwest,0.5,0.65,0.01,0.41,0.59,0.49,0.38,365000,19724,1.75,1.0,4.75
122,123,Kansas City,KS,Midwest,0.67,0.15,0.02,0.64,0.36,0.31,0.57,119000,19955,3.0,3.75,1.75
123,124,Metairie,LA,South,0.4,0.32,0.02,0.47,0.53,0.58,0.56,226000,19577,3.0,4.0,5.25
124,125,Cary,NC,South,0.55,0.62,0.01,0.56,0.44,0.44,0.38,336170,19998,2.0,3.25,4.75
125,126,Fullerton,CA,West,0.45,0.38,0.02,0.55,0.45,0.53,0.51,593500,30901,1.0,1.0,3.25
126,127,Cedar Rapids,IA,Midwest,0.58,0.32,0.01,0.43,0.57,0.41,0.52,145000,19513,3.0,4.75,2.75
127,128,Athens,GA,South,0.63,0.44,0.03,0.64,0.36,0.34,0.63,145000,18861,4.0,5.0,2.75
128,129,Pueblo,CO,West,0.55,0.18,0.02,0.44,0.57,0.42,0.56,136000,17345,5.25,5.0,1.0
129,130,Midland,TX,South,0.19,0.24,0.01,0.38,0.62,0.8,0.46,195000,20271,3.0,4.25,3.25
130,131,Clearwater,FL,South,0.52,0.31,0.01,0.65,0.35,0.47,0.57,167500,19492,3.75,3.0,2.25
131,132,Gainesville,FL,South,0.58,0.43,0.02,0.66,0.34,0.41,0.77,161000,20292,5.0,5.25,2.25
132,133,Billings,MT,West,0.38,0.29,0.03,0.51,0.49,0.59,0.49,211000,21492,4.25,4.75,1.75
133,134,Columbia,MO,Midwest,0.5,0.56,0.03,0.59,0.41,0.47,0.65,161000,19703,1.0,5.25,2.75
134,135,Roanoke,VA,South,0.59,0.25,0.03,0.5,0.5,0.38,0.6,148000,19071,4.0,5.0,2.0
135,136,Las Cruces,NM,West,0.56,0.34,0.03,0.23,0.77,0.41,0.56,144000,17893,4.75,4.75,2.25
136,137,Carlsbad,CA,West,0.52,0.5,0.02,0.56,0.44,0.46,0.45,735000,29870,1.75,1.0,4.0
137,138,Hillsboro,OR,West,0.58,0.32,0.03,0.74,0.26,0.4,0.49,300000,27049,5.25,2.25,4.0
138,139,Santa Maria,CA,West,0.57,0.12,0.03,0.44,0.56,0.4,0.54,350000,30901,3.75,4.0,3.0
139,140,Bryan,TX,South,0.31,0.28,0.02,0.49,0.51,0.67,0.57,127000,18735,3.0,4.75,3.0
140,141,Asheville,NC,South,0.56,0.45,0.01,0.45,0.55,0.43,0.62,292000,21008,5.0,4.0,3.75
141,142,Appleton,WI,Midwest,0.48,0.32,0.02,0.13,0.87,0.5,0.54,134000,19577,4.25,4.75,4.0
142,143,Bloomington,IN,Midwest,0.57,0.55,0.03,0.67,0.33,0.4,0.78,172000,22545,2.75,5.25,3.0
143,144,Edmond,OK,South,0.42,0.5,0.0,0.34,0.66,0.58,0.46,225000,20124,4.0,4.0,4.0
144,145,Allen,TX,South,0.34,0.53,0.01,0.46,0.54,0.65,0.37,319900,18419,3.0,1.75,4.75
145,146,Largo,FL,South,0.52,0.19,0.01,0.65,0.35,0.47,0.56,155450,20208,3.75,3.0,2.75
146,147,Greenville,SC,South,0.35,0.43,0.02,0.43,0.57,0.63,0.64,195000,20440,2.75,5.0,1.0
147,148,Missoula,MT,West,0.58,0.52,0.03,0.68,0.32,0.39,0.55,241000,21492,2.0,5.25,2.25
148,149,Idaho Falls,ID,West,0.23,0.25,0.02,0.24,0.76,0.75,0.49,140000,17345,5.25,5.0,3.25
149,150,Pensacola,FL,South,0.39,0.31,0.01,0.53,0.47,0.6,0.59,126000,18103,2.75,4.25,1.0
150,151,Rockville,MD,South,0.71,0.61,0.02,0.47,0.53,0.27,0.43,559950,27155,2.25,1.0,4.0
151,152,Charleston,WV,South,0.43,0.41,0.02,0.65,0.35,0.55,0.56,112000,21261,2.75,5.25,2.25
152,153,Littleton,CO,West,0.53,0.44,0.02,0.64,0.36,0.45,0.5,375000,21471,4.25,2.25,3.25
153,154,Bothell,WA,West,0.69,0.42,0.02,0.63,0.37,0.29,0.45,518000,23576,5.0,1.75,3.75
154,155,Keller,TX,South,0.41,0.54,0.02,0.48,0.52,0.57,0.35,384950,20208,3.0,1.0,5.0
155,156,Newark,DE,South,0.66,0.54,0.02,0.54,0.46,0.32,0.7,225000,21892,1.75,4.0,3.25
156,157,Fairfax,VA,South,0.57,0.54,0.02,0.57,0.43,0.41,0.45,495000,28207,3.25,1.0,4.25
157,158,Katy,TX,South,0.49,0.26,0.01,0.5,0.5,0.49,0.42,252700,19366,2.0,1.75,3.0
158,159,Everett,WA,West,0.57,0.19,0.02,0.76,0.24,0.41,0.58,325000,23492,5.0,2.25,1.0
159,160,Dallas,TX,South,0.57,0.3,0.01,0.45,0.55,0.42,0.59,289450,20440,2.75,2.0,2.0
160,161,Boston,MA,Northeast,0.78,0.43,0.02,0.4,0.6,0.21,0.7,579000,29533,4.75,1.0,3.0
161,162,Arlington,TX,South,0.41,0.3,0.02,0.48,0.52,0.57,0.52,175000,16777,2.75,2.25,2.25
162,163,Raleigh,NC,South,0.55,0.47,0.01,0.56,0.44,0.44,0.56,228000,19534,2.0,4.0,3.0
163,164,Wichita,KS,Midwest,0.39,0.28,0.02,0.53,0.47,0.59,0.51,118000,19113,4.0,5.0,1.0
164,165,Tampa,FL,South,0.53,0.34,0.01,0.58,0.42,0.46,0.62,205000,19492,3.75,3.25,3.25
165,166,Buffalo,NY,Northeast,0.57,0.26,0.02,0.26,0.74,0.41,0.71,132500,20124,2.75,3.75,1.0
166,167,Henderson,NV,West,0.56,0.3,0.02,0.64,0.36,0.42,0.51,260000,22671,3.75,3.0,4.0
167,168,Jersey City,NJ,Northeast,0.77,0.42,0.01,0.38,0.62,0.22,0.56,348000,26902,3.25,1.0,3.75
168,169,Des Moines,IA,Midwest,0.56,0.26,0.02,0.52,0.48,0.42,0.54,123000,18924,4.25,4.75,1.75
169,170,Orlando,FL,South,0.59,0.33,0.01,0.6,0.4,0.4,0.64,200000,20692,4.75,2.25,1.0
170,171,Chesapeake,VA,South,0.5,0.29,0.01,0.71,0.29,0.49,0.46,255000,20629,3.25,2.0,3.25
171,172,Rochester,NY,Northeast,0.58,0.24,0.02,0.46,0.54,0.4,0.72,116000,21366,4.25,4.0,1.0
172,173,Grand Rapids,MI,Midwest,0.46,0.29,0.01,0.47,0.53,0.53,0.62,144950,19577,2.0,4.75,2.75
173,174,Little Rock,AR,South,0.55,0.39,0.02,0.41,0.59,0.43,0.62,157750,20419,1.75,4.75,1.0
174,175,Newport News,VA,South,0.64,0.25,0.01,0.66,0.34,0.34,0.58,181300,20503,4.25,3.0,3.0
175,176,Providence,RI,Northeast,0.84,0.27,0.02,0.36,0.64,0.14,0.7,181000,25955,4.25,3.25,2.0
176,177,Tallahassee,FL,South,0.61,0.48,0.01,0.62,0.38,0.38,0.69,167000,19156,2.75,4.75,2.0
177,178,Santa Clarita,CA,West,0.69,0.33,0.02,0.42,0.58,0.29,0.48,475000,30901,4.25,1.0,4.75
178,179,Columbia,SC,South,0.66,0.42,0.01,0.58,0.42,0.33,0.69,146000,20040,2.75,5.25,1.0
179,180,New Haven,CT,Northeast,0.89,0.35,0.01,0.46,0.54,0.1,0.68,159000,27997,3.0,3.75,1.0
180,181,Topeka,KS,Midwest,0.48,0.26,0.02,0.54,0.46,0.5,0.55,99000,19429,4.25,5.25,1.75
181,182,Waco,TX,South,0.35,0.19,0.01,0.39,0.61,0.64,0.6,120000,19387,4.0,5.0,2.25
182,183,Denton,TX,South,0.33,0.36,0.02,0.66,0.34,0.65,0.62,215000,18082,3.0,2.25,3.75
183,184,Lafayette,LA,South,0.32,0.32,0.02,0.21,0.79,0.66,0.61,234000,19513,2.0,4.25,1.0
184,185,Lewisville,TX,South,0.33,0.31,0.02,0.66,0.34,0.65,0.5,235000,19724,3.0,2.75,3.25
185,186,Abilene,TX,South,0.23,0.22,0.01,0.33,0.67,0.76,0.54,149950,19745,2.25,5.25,2.25
186,187,Peoria,IL,Midwest,0.51,0.31,0.02,0.51,0.49,0.47,0.57,92000,20650,1.0,4.25,2.25
187,188,Manchester,NH,Northeast,0.54,0.27,0.02,0.42,0.58,0.44,0.6,208500,24713,5.25,3.75,2.25
188,189,Westminster,CO,West,0.56,0.38,0.03,0.7,0.3,0.41,0.47,305000,22313,4.25,2.0,3.25
189,190,Norman,OK,South,0.37,0.43,0.0,0.56,0.44,0.63,0.61,165000,17429,4.0,3.25,3.75
190,191,Roseville,CA,West,0.39,0.35,0.02,0.63,0.37,0.59,0.44,415000,27155,2.75,2.0,3.75
191,192,Olathe,KS,Midwest,0.4,0.46,0.02,0.49,0.51,0.58,0.41,240000,18524,3.25,3.75,4.25
192,193,Downey,CA,West,0.69,0.23,0.02,0.42,0.58,0.29,0.53,505000,28817,1.0,1.0,3.25
193,194,Beaumont,TX,South,0.5,0.24,0.01,0.35,0.65,0.49,0.6,126000,20945,3.75,5.0,1.0
194,195,Erie,PA,Northeast,0.58,0.21,0.01,0.41,0.59,0.41,0.62,81000,20124,2.25,5.25,3.0
195,196,Roswell,GA,South,0.64,0.57,0.01,0.41,0.59,0.35,0.46,345000,21387,2.25,1.75,4.0
196,197,Antioch,CA,West,0.66,0.23,0.02,0.61,0.39,0.32,0.49,365000,26523,3.25,1.0,2.0
197,198,Tyler,TX,South,0.26,0.29,0.01,0.35,0.65,0.73,0.53,207000,19598,2.75,5.0,2.25
198,199,Vista,CA,West,0.52,0.19,0.02,0.56,0.44,0.46,0.54,445000,20292,1.75,3.25,3.75
199,200,Yuma,AZ,West,0.41,0.17,0.01,0.64,0.36,0.58,0.47,138000,21387,5.25,5.25,2.75
200,201,Federal Way,WA,West,0.69,0.24,0.02,0.63,0.37,0.29,0.5,305500,23155,5.0,1.0,1.0
201,202,Lees Summit,MO,Midwest,0.59,0.41,0.01,0.49,0.51,0.4,0.44,204000,19598,3.0,2.0,4.0
202,203,Vacaville,CA,West,0.63,0.2,0.02,0.63,0.37,0.35,0.52,400000,30901,2.75,2.75,4.0
203,204,Quincy,MA,Northeast,0.43,0.38,0.01,0.26,0.74,0.56,0.55,385000,19745,4.75,1.0,4.0
204,205,Trenton,NJ,Northeast,0.68,0.1,0.01,0.49,0.51,0.31,0.67,76250,23787,4.0,2.75,2.75
205,206,Mckinney,TX,South,0.34,0.47,0.01,0.46,0.54,0.65,0.39,289000,19787,3.0,1.0,4.0
206,207,Hawthorne,CA,West,0.69,0.18,0.02,0.42,0.58,0.29,0.61,577500,28817,1.0,1.0,3.25
207,208,Whittier,CA,West,0.69,0.26,0.02,0.42,0.58,0.29,0.55,485000,28817,1.0,1.0,3.25
208,209,Fort Smith,AR,South,0.3,0.18,0.03,0.31,0.69,0.67,0.51,105000,17051,3.75,5.25,1.0
209,210,Lake Charles,LA,South,0.35,0.23,0.02,0.35,0.65,0.63,0.6,171000,19998,1.75,4.25,1.75
210,211,Greenville,NC,South,0.53,0.34,0.01,0.68,0.32,0.46,0.67,119000,20440,4.75,5.0,2.0
211,212,Delray Beach,FL,South,0.58,0.35,0.01,0.44,0.56,0.41,0.59,176000,20376,4.75,3.25,1.0
212,213,Rapid City,SD,Midwest,0.34,0.28,0.03,0.37,0.63,0.63,0.55,198000,17893,5.25,5.25,2.25
213,214,Saint Charles,MO,Midwest,0.39,0.36,0.02,0.49,0.51,0.6,0.54,182000,19156,1.0,4.0,3.75
214,215,Muncie,IN,Midwest,0.5,0.2,0.02,0.73,0.27,0.47,0.66,76000,19029,2.75,4.25,2.0
215,216,Johnson City,TN,South,0.3,0.36,0.02,0.46,0.54,0.68,0.6,139000,20840,2.25,4.25,2.25
216,217,Lancaster,PA,Northeast,0.4,0.18,0.02,0.52,0.48,0.59,0.65,120000,21282,1.0,4.25,1.75
217,218,Bradenton,FL,South,0.43,0.22,0.01,0.64,0.36,0.56,0.56,215500,19282,3.75,3.75,2.25
218,219,Renton,WA,West,0.69,0.28,0.02,0.63,0.37,0.29,0.53,405950,21703,5.0,1.0,1.75
219,220,Bell Gardens,CA,West,0.69,0.05,0.02,0.42,0.58,0.29,0.58,442000,28817,1.0,1.0,4.0
220,221,Auburn,WA,West,0.69,0.21,0.02,0.63,0.37,0.29,0.55,327750,19703,5.0,1.0,1.0
